#{"t_start": 1693592155.0142877, "env_id": null}
r,l,t
0.0,500,13.219117
99.0,500,13.219117
0.0,500,13.219117
85.0,500,13.227136
0.0,500,24.401301
14.0,500,24.401301
216.0,500,24.401301
24.0,500,24.401301
70.0,500,39.782264
0.0,500,39.782264
37.0,500,39.782264
77.0,500,39.782264
0.0,500,56.712047
144.0,500,56.712047
0.0,500,56.712047
127.0,500,56.712047
178.0,500,905.620733
441.0,500,905.622247
103.0,500,905.622247
344.0,500,905.622247
345.0,500,918.015378
103.0,500,918.015378
218.0,500,918.015378
279.0,500,918.015378
264.0,500,931.784933
100.0,500,931.784933
348.0,500,931.784933
515.0,500,931.784933
110.0,500,943.896158
93.0,500,943.896158
141.0,500,943.896158
90.0,500,943.896158
488.0,500,1769.457571
493.0,500,1769.457571
280.0,500,1769.457571
194.0,500,1769.457571
248.0,500,1784.506147
88.0,500,1784.506147
600.0,500,1784.506147
355.0,500,1784.506147
439.0,500,1801.935929
169.0,500,1801.935929
505.0,500,1801.935929
622.0,500,1801.935929
812.0,500,1813.416452
482.0,500,1813.416452
341.0,500,1813.416452
334.0,500,1813.416452
523.0,500,2873.918063
482.0,500,2873.918063
506.0,500,2873.918063
514.0,500,2873.918063
886.0,500,2890.518603
640.0,500,2890.518603
627.0,500,2890.518603
636.0,500,2890.518603
640.0,500,2904.924631
638.0,500,2904.924631
639.0,500,2904.924631
575.0,500,2904.924631
575.0,500,2916.900244
621.0,500,2916.900244
509.0,500,2916.900244
550.0,500,2916.900244
752.0,500,3835.463242
466.0,500,3835.478858
623.0,500,3835.478858
720.0,500,3835.478858
640.0,500,3845.840274
640.0,500,3845.840274
789.0,500,3845.840274
631.0,500,3845.840274
622.0,500,3857.041108
795.0,500,3857.041108
1040.0,500,3857.041108
746.0,500,3857.041108
717.0,500,3867.542932
640.0,500,3867.542932
640.0,500,3867.542932
719.0,500,3867.542932
640.0,500,4543.284009
641.0,500,4543.284009
830.0,500,4543.284009
802.0,500,4543.284009
733.0,500,4553.040934
640.0,500,4553.040934
588.0,500,4553.040934
699.0,500,4553.040934
765.0,500,4563.686797
792.0,500,4563.686797
705.0,500,4563.686797
733.0,500,4563.686797
641.0,500,4573.743314
630.0,500,4573.743314
994.0,500,4573.743314
685.0,500,4573.743314
485.0,493,5216.659638
640.0,500,5216.816525
639.0,500,5216.816525
640.0,500,5216.816525
640.0,500,5226.411941
640.0,500,5226.553694
645.0,500,5226.553694
1053.0,500,5226.553694
759.0,500,5236.620501
792.0,500,5236.745847
529.0,500,5236.745847
590.0,500,5236.745847
813.0,500,5246.231864
641.0,500,5246.373276
641.0,500,5246.373276
900.0,500,5246.373276
755.0,500,5874.199525
615.0,500,5874.325478
655.0,500,5874.325478
496.0,500,5874.325478
1230.0,500,5883.683975
963.0,500,5883.811195
1331.0,500,5883.811195
640.0,500,5883.811195
790.0,500,5893.97497
639.0,500,5894.113568
632.0,500,5894.113568
639.0,500,5894.113568
1165.0,500,5903.614868
981.0,500,5903.752652
802.0,500,5903.752652
807.0,500,5903.752652
